feature,importance_mean,importance_std
study_hours_per_day,0.92774087462322,0.026777467961144212
mental_health_status,0.10115419482812642,0.004980733918734492
sleep_hours,0.08279946142750225,0.0038594936736743466
assignment_completion_percent,0.07019889003611578,0.001805460958927218
smartphone_usage_hours,0.059213069662713766,0.003979091985560159
motivation_level,0.04627204589502944,0.004690626321864813
class_attendance_percent,0.035625595698695334,0.00323507046948044
gaming_hours,0.018496465287168848,0.0022500659888315486
parent_education_level,0.014221016524186683,0.001472705913667953
exercise_hours,0.007451882408380128,0.0018966927384174493
streaming_hours,0.0010568028313842903,0.0008498547841400142
age,0.0006190141134953392,0.0003197953549899426
internet_quality,0.0006175718304430589,0.0003175859076571513
caffeine_intake_cups,0.0002184072451272001,0.00038760547019061215
social_media_hours,-0.0001900384737617139,0.00038092227001378066
